"Education_Sector","Entity_Type","School_No","School_Name","School_Type","School_Status","Prep Males Total","Prep Females Total","Prep Total","Year 1 Males Total","Year 1 Females Total","Year 1 Total","Year 2 Males Total","Year 2 Females Total","Year 2 Total","Year 3 Males Total","Year 3 Females Total","Year 3 Total","Year 4 Males Total","Year 4 Females Total","Year 4 Total","Year 5 Males Total","Year 5 Females Total","Year 5 Total","Year 6 Males Total","Year 6 Females Total","Year 6 Total","Primary Ungraded Males Total","Primary Ungraded Females Total","Primary Ungraded Total","Primary Total","Year 7 Males Total","Year 7 Females Total","Year 7 Total","Year 8 Males Total","Year 8 Females Total","Year 8 Total","Year 9 Males Total","Year 9 Females Total","Year 9 Total","Year 10 Males Total","Year 10 Females Total","Year 10 Total","Year 11 Males Total","Year 11 Females Total","Year 11 Total","Year 12 Males","Year 12 Females","Year 12 Total","Secondary Ungraded Males Total","Secondary Ungraded Females Total","Secondary Ungraded Total","Secondary Total","Grand Total","Year","CENSUS_TYPE"
"Government",1,2617,"Boolarra Primary School","Primary","O","2","2","4","1","1","2","4","3","7","5","4","9","7","3","10","4","2","6","7","6","13","0","0","0","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51",2021,"F"
"Government",1,2627,"Rosebud Primary School","Primary","O","46","50","96","43","49","92","48","47","95","40","43","83","31","42","73","42","52","94","39","39","78","0","0","0","611","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","611",2021,"F"
"Government",1,2629,"Koo Wee Rup Primary School","Primary","O","29","21","50","25","20","45","22","28","50","28","30","58","31","22","53","23","29","52","22","24","46","0","0","0","354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","354",2021,"F"
"Government",1,2634,"Armadale Primary School","Primary","O","23","22","45","26","29","55","18","23","41","29","35","64","22","21","43","17","17","34","20","15","35","0","0","0","317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","317",2021,"F"
"Government",1,2655,"Osborne Primary School","Primary","O","51","58","109","64","43","107","48","41","89","40","37","77","49","54","103","37","50","87","33","43","76","0","0","0","648","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","648",2021,"F"
"Government",1,2656,"Somerville Primary School","Primary","O","30","25","55","37","36","73","26","25","51","20","20","40","18","17","35","22","25","47","11","14","25","0","0","0","326","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","326",2021,"F"
"Government",1,2662,"Willaura Primary School","Primary","O","3","1","4","1","2","3","0","3","3","1","1","2","1","5","6","1","2","3","4","2","6","0","0","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27",2021,"F"
"Government",1,2667,"Echuca East Primary School","Primary","O","21","19","40","13","19","32","21","20","41","34","16","50","25","23","48","26","21","47","27","24","51","0","0","0","309","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","309",2021,"F"
"Government",1,2672,"Lakes Entrance Primary School","Primary","O","24","13","37","16","10","26","19","27","46","15","18.4","33.4","21","13","34","17","12","29","18","8","26","0","0","0","231.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","231.4",2021,"F"
"Government",1,2677,"Myrrhee Primary School","Primary","O","2","2","4","3","2","5","4","2","6","0","2","2","4","3","7","1","1","2","2","1","3","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29",2021,"F"
"Government",1,2707,"Longwood Primary School","Primary","O","5","0","5","5","2","7","1","1","2","2","3","5","3","1","4","1","3","4","5","2","7","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34",2021,"F"
